,match_id,match_date,kick_off,home_score,away_score,match_status,last_updated,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_group,home_team.country.id,home_team.country.name,home_team.managers,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_group,away_team.country.id,away_team.country.name,away_team.managers,metadata.data_version,metadata.shot_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name,metadata.xy_fidelity_version
0,9592,2017-09-09,20:45:00.000,5,0,available,2020-07-29T05:00,3,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",214,Espanyol,male,,214,Spain,"[{'id': 236, 'name': 'Enrique Sánchez Flores', 'nickname': 'Quique Sánchez Flores', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.1.0,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,183.0,Jesús Gil,214.0,Spain,
1,9870,2018-04-07,20:45:00.000,3,1,available,2020-07-29T05:00,31,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",205,Leganés,male,,214,Spain,"[{'id': 84, 'name': 'Asier Garitano Aguirrezábal', 'nickname': 'Asier Garitano', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,215.0,Ricardo De Burgos,112.0,Italy,
2,9783,2018-02-04,16:15:00.000,1,1,available,2020-07-29T05:00,22,11,Spain,La Liga,1,2017/2018,214,Espanyol,male,,214,Spain,"[{'id': 236, 'name': 'Enrique Sánchez Flores', 'nickname': 'Quique Sánchez Flores', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,351.0,RCDE Stadium,214.0,Spain,183.0,Jesús Gil,214.0,Spain,
3,9609,2017-09-19,22:00:00.000,6,1,available,2020-07-29T05:00,5,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",322,Eibar,male,,214,Spain,"[{'id': 221, 'name': 'José Luis Mendilibar Etxebarria', 'nickname': 'José Luis Mendilibar', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,208.0,Alejandro Hernández,112.0,Italy,
4,9700,2017-12-02,13:00:00.000,2,2,available,2020-07-29T05:00,14,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",209,Celta Vigo,male,,214,Spain,"[{'id': 208, 'name': 'Juan Carlos Unzué Labiano', 'nickname': 'Juan Carlos Unzué', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,209.0,Mario Melero,112.0,Italy,
5,9860,2018-03-31,20:45:00.000,2,2,available,2020-07-29T05:00,30,11,Spain,La Liga,1,2017/2018,213,Sevilla,male,,214,Spain,"[{'id': 232, 'name': 'Vincenzo Montella', 'nickname': None, 'dob': None, 'country': {'id': 112, 'name': 'Italy'}}]",217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,349.0,Estadio Ramón Sánchez Pizjuán,214.0,Spain,211.0,José González,112.0,Italy,
6,9695,2017-11-26,20:45:00.000,1,1,available,2020-07-29T05:00,13,11,Spain,La Liga,1,2017/2018,207,Valencia,male,,214,Spain,"[{'id': 507, 'name': 'Juan Rubén Uría Corral', 'nickname': 'Rubén Uría', 'dob': '1968-01-30', 'country': {'id': 214, 'name': 'Spain'}}]",217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,344.0,Estadio de Mestalla,214.0,Spain,218.0,Ignacio Iglesias,112.0,Italy,
7,9794,2018-02-11,16:15:00.000,0,0,available,2020-07-29T05:00,23,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",216,Getafe,male,,214,Spain,"[{'id': 228, 'name': 'José Bordalás Jiménez', 'nickname': 'José Bordalás', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,222.0,David Fernández,112.0,Italy,
8,9717,2017-12-10,20:45:00.000,0,2,available,2020-07-29T05:00,15,11,Spain,La Liga,1,2017/2018,222,Villarreal,male,,214,Spain,"[{'id': 182, 'name': 'Javier Calleja Revilla', 'nickname': 'Javi Calleja', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,361.0,Estadio de la Cerámica,214.0,Spain,215.0,Ricardo De Burgos,112.0,Italy,
9,9620,2017-09-23,20:45:00.000,0,3,available,2020-07-29T05:00,6,11,Spain,La Liga,1,2017/2018,211,Girona,male,,214,Spain,"[{'id': 234, 'name': 'Pablo Javier Machín Díez', 'nickname': 'Pablo Machín', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,343.0,Estadi Municipal de Montilivi,214.0,Spain,220.0,José Sánchez,112.0,Italy,
10,9673,2017-11-04,20:45:00.000,2,1,available,2020-07-29T05:00,11,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",213,Sevilla,male,,214,Spain,"[{'id': 385, 'name': 'Manuel Eduardo Berizzo', 'nickname': 'Eduardo Berizzo', 'dob': None, 'country': {'id': 11, 'name': 'Argentina'}}]",1.0.2,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,211.0,José González,112.0,Italy,
11,9650,2017-10-21,20:45:00.000,2,0,available,2020-07-29T05:00,9,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",223,Málaga,male,,214,Spain,"[{'id': 505, 'name': 'José Miguel González Martín del Campo', 'nickname': 'Míchel', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,219.0,Pablo González,112.0,Italy,
12,9799,2018-02-17,16:15:00.000,0,2,available,2020-07-29T05:00,24,11,Spain,La Liga,1,2017/2018,322,Eibar,male,,214,Spain,"[{'id': 221, 'name': 'José Luis Mendilibar Etxebarria', 'nickname': 'José Luis Mendilibar', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,347.0,Estadio Municipal de Ipurúa,214.0,Spain,208.0,Alejandro Hernández,112.0,Italy,
13,9827,2018-03-01,21:00:00.000,1,1,available,2020-07-29T05:00,26,11,Spain,La Liga,1,2017/2018,208,Las Palmas,male,,214,Spain,"[{'id': 220, 'name': 'Francisco Jémez Martín', 'nickname': 'Paco Jémez', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,357.0,Estadio de Gran Canaria,214.0,Spain,180.0,Antonio Mateu,214.0,Spain,
14,9837,2018-03-04,16:15:00.000,1,0,available,2020-07-29T05:00,27,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",212,Atlético Madrid,male,,214,Spain,"[{'id': 230, 'name': 'Diego Pablo Simeone', 'nickname': 'Diego Simeone', 'dob': None, 'country': {'id': 11, 'name': 'Argentina'}}]",1.0.2,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,183.0,Jesús Gil,214.0,Spain,
15,9912,2018-04-29,20:45:00.000,2,4,available,2020-07-29T05:00,35,11,Spain,La Liga,1,2017/2018,219,Deportivo La Coruna,male,,214,Spain,"[{'id': 371, 'name': 'Clarence Seedorf', 'nickname': None, 'dob': '1976-04-01', 'country': {'id': 160, 'name': 'Netherlands'}}]",217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,4658.0,Estadio Abanca-Riazor,214.0,Spain,215.0,Ricardo De Burgos,112.0,Italy,
16,9924,2018-05-06,20:45:00.000,2,2,available,2020-07-29T05:00,36,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",220,Real Madrid,male,,214,Spain,"[{'id': 56, 'name': 'Zinédine Zidane', 'nickname': None, 'dob': None, 'country': {'id': 78, 'name': 'France'}}]",1.0.2,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,208.0,Alejandro Hernández,112.0,Italy,
17,9880,2018-04-14,16:15:00.000,2,1,available,2020-07-29T05:00,32,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",207,Valencia,male,,214,Spain,"[{'id': 211, 'name': 'Marcelino García Toral', 'nickname': 'Marcelino', 'dob': '1965-08-14', 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,223.0,Carlos Del Cerro,112.0,Italy,
18,9811,2018-02-24,20:45:00.000,6,1,available,2020-07-29T05:00,25,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",211,Girona,male,,214,Spain,"[{'id': 234, 'name': 'Pablo Javier Machín Díez', 'nickname': 'Pablo Machín', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,216.0,Javier Alberola,112.0,Italy,
19,9636,2017-10-01,16:15:00.000,3,0,available,2020-07-29T05:00,7,11,Spain,La Liga,1,2017/2018,217,Barcelona,male,,214,Spain,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': None, 'country': {'id': 214, 'name': 'Spain'}}]",208,Las Palmas,male,,214,Spain,"[{'id': 618, 'name': 'Francisco Martín Ayestarán Barandiarán', 'nickname': 'Pako Ayestarán', 'dob': '1963-02-05', 'country': {'id': 214, 'name': 'Spain'}}]",1.0.2,2,1,Regular Season,342.0,Camp Nou,214.0,Spain,224.0,José Munuera,112.0,Italy,
